Team1Ban1,Team2Ban1,Team1Ban2,Team2Ban2,Team1Ban3,Team2Ban3,Team1Pick1,Team2Pick1,Team2Pick2,Team1Pick2,Team1Pick3,Team2Pick3,Team2Ban4,Team1Ban4,Team2Ban5,Team1Ban5,Team2Pick4,Team1Pick4,Team1Pick5,Team2Pick5
Aatrox,Yuumi,Twisted Fate,Yasuo,Rakan,Qiyana,Sylas,Akali,Gragas,Thresh,Kai'Sa,Xayah,Sejuani,Jax,Skarner,Gangplank,Morgana,Jarvan IV,Kled,Renekton
Aatrox,Zoe,Jayce,Lissandra,Lucian,Thresh,Akali,Galio,Kai'Sa,Olaf,Alistar,Kha'Zix,Draven,Urgot,Kalista,LeBlanc,Gragas,Xayah,Ryze,Sion
Aatrox,Zoe,Syndra,Cassiopeia,Yorick,Lissandra,LeBlanc,Urgot,Varus,Ezreal,Tahm Kench,Alistar,Sion,Vladimir,Poppy,Akali,Lee Sin,Jayce,Jarvan IV,Ryze
Ahri,Aatrox,Shen,Tahm Kench,Camille,Swain,Yasuo,Trundle,Braum,Gragas,Orianna,Varus,Morgana,Cho'Gath,Alistar,Dr. Mundo,Ryze,Fiddlesticks,Kennen,Gangplank
Ahri,Azir,Hwei,Gwen,Taliyah,Orianna,Yunara,Annie,Wukong,Syndra,Skarner,Rumble,Ambessa,Jinx,Aatrox,Ezreal,Kai'Sa,Alistar,K'Sante,Nautilus
Ahri,Kindred,Trundle,Aatrox,Swain,Tahm Kench,Shen,Gnar,Camille,Ezreal,Gangplank,Rakan,LeBlanc,Xayah,Zoe,Ryze,Kai'Sa,Azir,Gragas,Orianna
Akali,Aatrox,Camille,Cassiopeia,Alistar,Lucian,Galio,Irelia,Gragas,Elise,Renekton,Viktor,Rakan,Thresh,Fiddlesticks,Sivir,Tahm Kench,Ezreal,Karma,Urgot
Akali,Aatrox,Camille,Kha'Zix,Caitlyn,Alistar,Cassiopeia,Lucian,Urgot,Irelia,Gragas,Rakan,Leona,Elise,Morgana,Xin Zhao,Lee Sin,Varus,Tahm Kench,LeBlanc
Akali,Aatrox,Camille,Rakan,Gragas,Tahm Kench,Urgot,Alistar,Taliyah,Varus,Braum,Ornn,LeBlanc,Irelia,Olaf,Yasuo,Kai'Sa,Xin Zhao,Galio,Azir
Akali,Aatrox,Camille,Renekton,Lucian,Cassiopeia,Gragas,Urgot,Caitlyn,Ezreal,Viktor,Zoe,Irelia,Morgana,Alistar,Lee Sin,Thresh,Yasuo,Fiddlesticks,Xin Zhao
Akali,Aatrox,Gragas,Renekton,Elise,Skarner,Sylas,Rek'Sai,Thresh,Morgana,Xayah,Lucian,Fiora,Yasuo,Jayce,Syndra,Kled,Kennen,Karma,Corki
Akali,Aatrox,Irelia,Olaf,Jayce,Taliyah,Sylas,Sejuani,Camille,Xayah,Rakan,Vladimir,Ryze,Lux,Neeko,Yuumi,Morgana,Jarvan IV,Rumble,Caitlyn
Akali,Aatrox,Miss Fortune,LeBlanc,Camille,Varus,Rakan,Trundle,Tahm Kench,Kai'Sa,Kindred,Irelia,Ornn,Quinn,Ryze,Kennen,Swain,Galio,Jayce,Orianna
Akali,Aatrox,Rakan,Tahm Kench,Ryze,Swain,Alistar,Gragas,Irelia,Kai'Sa,Galio,Varus,Camille,Morgana,Urgot,Braum,Sion,Xin Zhao,Ornn,Sejuani
Akali,Aatrox,Sylas,Irelia,Olaf,Zoe,Jayce,Neeko,Jarvan IV,Elise,Nautilus,Galio,Xayah,Kai'Sa,Ryze,Renekton,Lucian,Sivir,Taliyah,LeBlanc
Akali,Aatrox,Taliyah,Rakan,Urgot,Gragas,Alistar,Braum,Ornn,Kai'Sa,Gnar,Sejuani,Olaf,Irelia,Zac,Yasuo,Twitch,Zoe,Trundle,Lulu
Akali,Aatrox,Taliyah,Rakan,Urgot,Gragas,Alistar,Tahm Kench,Ashe,Kai'Sa,Gnar,Kindred,Zoe,LeBlanc,Olaf,Azir,Ornn,Xin Zhao,Vel'Koz,Irelia
Akali,Alistar,Irelia,Pyke,Aatrox,Urgot,Rakan,Kai'Sa,Leona,Xayah,Sion,Ornn,LeBlanc,Camille,Skarner,Zac,Xin Zhao,Olaf,Swain,Syndra
Akali,Camille,LeBlanc,Olaf,Alistar,Lucian,Thresh,Galio,Urgot,Xin Zhao,Kai'Sa,Sivir,Lissandra,Swain,Sion,Evelynn,Skarner,Yorick,Syndra,Ryze
Akali,Cassiopeia,Camille,Aatrox,Irelia,Morgana,Urgot,Sion,Tahm Kench,Rakan,Galio,Ezreal,Xayah,Kha'Zix,Lucian,Zoe,Ryze,Xin Zhao,Vayne,Rek'Sai
Akali,Cassiopeia,Camille,Aatrox,Zoe,Galio,Urgot,Irelia,Sejuani,Lucian,Xin Zhao,Kai'Sa,Morgana,Alistar,Thresh,Braum,Rakan,Fiddlesticks,Lissandra,Syndra
Akali,Cassiopeia,Jayce,Aatrox,Rakan,Irelia,Kai'Sa,Urgot,Lucian,Kled,Sejuani,Alistar,Morgana,Kayn,Tahm Kench,Zoe,Lee Sin,Ornn,Yasuo,LeBlanc
Akali,Cassiopeia,Lucian,Aatrox,Jayce,Camille,Urgot,Rakan,Irelia,Kai'Sa,Morgana,Xayah,Kindred,Galio,LeBlanc,Lissandra,Sejuani,Kha'Zix,Jax,Ryze
Akali,Draven,Aatrox,Cassiopeia,Galio,Irelia,Lissandra,Urgot,Rakan,Nocturne,Jayce,Xayah,Alistar,Lee Sin,Thresh,Kindred,Zoe,Lucian,Leona,Olaf
Akali,Draven,Sejuani,Rakan,Skarner,Kalista,Tristana,Braum,Sivir,Olaf,Alistar,Trundle,Malzahar,Cassiopeia,Lulu,Yasuo,Cho'Gath,Galio,Sion,Vayne
Akali,Draven,Sejuani,Rakan,Skarner,Kalista,Tristana,Sivir,Alistar,Braum,Sion,Trundle,Kindred,Cassiopeia,Malzahar,Yasuo,Maokai,Lulu,Xin Zhao,LeBlanc
Akali,Elise,Qiyana,Pantheon,Quinn,Renekton,Xayah,Kai'Sa,Lee Sin,Gragas,Rakan,Kayle,Ryze,Nautilus,Yasuo,Camille,Leona,Syndra,Jayce,LeBlanc
Akali,Gragas,Jayce,Galio,LeBlanc,Lee Sin,Alistar,Ezreal,Aatrox,Olaf,Zoe,Tahm Kench,Sivir,Elise,Lucian,Syndra,Lissandra,Kai'Sa,Urgot,Ornn
Akali,Gragas,Tahm Kench,Sylas,Xayah,Yuumi,Kai'Sa,Qiyana,Ezreal,Sejuani,Irelia,Elise,Nautilus,Renekton,Morgana,Alistar,Braum,Rakan,Karma,Kennen
Akali,Jayce,Renekton,Yasuo,Irelia,Sylas,Karma,Ezreal,Aatrox,Caitlyn,Lux,Gragas,Jarvan IV,Qiyana,Olaf,Gangplank,Tahm Kench,Xin Zhao,Zoe,Tristana
Akali,Jayce,Sylas,Aatrox,Ryze,Irelia,Neeko,Viktor,Jarvan IV,Nautilus,Olaf,Taric,Xayah,Sona,Lucian,LeBlanc,Kai'Sa,Sivir,Zoe,Azir
Akali,Jayce,Thresh,Varus,Ryze,Karma,Morgana,Jarvan IV,Ezreal,Rek'Sai,Vayne,Tahm Kench,Braum,Syndra,Vladimir,Cassiopeia,Sylas,Nautilus,Irelia,Jax
Akali,Karma,Aatrox,Skarner,Corki,Camille,Yuumi,Volibear,Kai'Sa,Sejuani,Xayah,Kennen,Gangplank,Sylas,Tristana,Jarvan IV,Elise,Lissandra,Neeko,Jayce
Akali,Karma,Jayce,Qiyana,Yuumi,Aatrox,Ezreal,Sejuani,Sylas,Skarner,Tahm Kench,Kai'Sa,Kennen,Gragas,Gangplank,Volibear,Olaf,Renekton,Vladimir,Neeko
Akali,Karma,Yuumi,Jarvan IV,Olaf,Lux,Aatrox,Irelia,Gragas,Xayah,Rakan,Kai'Sa,Sylas,LeBlanc,Lee Sin,Corki,Volibear,Azir,Skarner,Varus
Akali,Karthus,Neeko,Karma,Yuumi,Lux,Tahm Kench,Irelia,Braum,Sylas,Renekton,Sejuani,Ashe,Qiyana,Varus,Jayce,Kai'Sa,Ezreal,Azir,Camille
Akali,Lee Sin,Jayce,Gragas,LeBlanc,Olaf,Zoe,Irelia,Sejuani,Xin Zhao,Lucian,Alistar,Morgana,Xayah,Thresh,Kai'Sa,Kalista,Galio,Urgot,Sion
Akali,Lissandra,Gragas,Xayah,Lucian,Zoe,Galio,Jayce,Alistar,Ryze,Kai'Sa,Vayne,Lee Sin,Riven,Jarvan IV,Irelia,Aatrox,Urgot,Camille,Syndra
Akali,Lissandra,Jayce,Urgot,Tahm Kench,Olaf,Zoe,Lucian,Gragas,Kai'Sa,Galio,Yasuo,Lee Sin,Irelia,Skarner,Alistar,Thresh,Jarvan IV,Yorick,Jax
Akali,Lucian,Zoe,Xin Zhao,Thresh,Lissandra,Galio,LeBlanc,Jarvan IV,Urgot,Gragas,Ezreal,Kai'Sa,Morgana,Kalista,Alistar,Tahm Kench,Vayne,Jayce,Vladimir
Akali,Lucian,Zoe,Xin Zhao,Thresh,Galio,Ezreal,Jayce,Kai'Sa,Olaf,LeBlanc,Lissandra,Irelia,Nocturne,Urgot,Fiddlesticks,Tahm Kench,Pyke,Vladimir,Jarvan IV
Akali,Mordekaiser,LeBlanc,Renekton,Qiyana,Olaf,Senna,Miss Fortune,Lee Sin,Tahm Kench,Elise,Nautilus,Irelia,Ryze,Pantheon,Fiora,Cassiopeia,Zoe,Aatrox,Camille
Akali,Nocturne,Ryze,Thresh,Camille,Alistar,Urgot,Rakan,Xin Zhao,Leona,Kai'Sa,Xayah,Skarner,LeBlanc,Syndra,Lissandra,Galio,Swain,Kindred,Sion
Akali,Nocturne,Ryze,Thresh,Irelia,Alistar,Aatrox,Urgot,Rakan,Kai'Sa,Xin Zhao,Xayah,Leona,LeBlanc,Swain,Syndra,Lissandra,Shen,Galio,Camille
Akali,Nocturne,Ryze,Thresh,Rakan,Alistar,Urgot,Aatrox,Kai'Sa,Gragas,Tahm Kench,Braum,Azir,Zac,Swain,LeBlanc,Syndra,Tristana,Irelia,Camille
Akali,Nocturne,Ryze,Thresh,Rakan,Aatrox,Urgot,Xayah,Alistar,Braum,Swain,Kindred,Xin Zhao,Syndra,Gragas,Lissandra,Sion,Tristana,Taliyah,LeBlanc
Akali,Nocturne,Ryze,Thresh,Urgot,Aatrox,Kai'Sa,Alistar,Xayah,Rakan,Irelia,Lissandra,Galio,LeBlanc,Syndra,Camille,Xin Zhao,Gragas,Azir,Fiora
Akali,Olaf,Gragas,Zoe,Lucian,Kai'Sa,Lissandra,Urgot,Tahm Kench,Thresh,Kalista,Ashe,Kindred,Vladimir,Camille,Riven,Sylas,Yorick,Xin Zhao,Aatrox
Akali,Pantheon,Azir,Taliyah,Trundle,Poppy,Sion,Xayah,Rakan,Kalista,Renata Glasc,Ornn,Morgana,Zed,Sylas,Maokai,Naafiri,Vi,Ahri,Galio
Akali,Pantheon,Gangplank,Qiyana,Gragas,Renekton,Xayah,Twisted Fate,Yuumi,Ryze,Rakan,Garen,Jarvan IV,Jax,Kled,Lee Sin,Elise,Olaf,Camille,Rengar
Akali,Pantheon,Gangplank,Qiyana,Veigar,Xayah,Gragas,Kai'Sa,Lee Sin,Varus,Tahm Kench,Pyke,Kled,Ornn,Renekton,Jax,Kayle,Ryze,Camille,Cassiopeia
Akali,Pantheon,Gragas,Qiyana,Gangplank,Xayah,Ryze,Lee Sin,Kai'Sa,Renekton,Rek'Sai,Veigar,Tahm Kench,Rakan,Vayne,Pyke,Ornn,Nautilus,Lucian,Alistar
Akali,Pantheon,Kayle,Ryze,Kai'Sa,Xayah,Qiyana,Gragas,Varus,Renekton,Nautilus,Quinn,Lucian,Tahm Kench,Kalista,Braum,Alistar,Ezreal,Rumble,Syndra
Akali,Pantheon,Kayle,Ryze,Kai'Sa,Renekton,Xayah,Jayce,Gragas,Qiyana,Nautilus,Ezreal,Rakan,Leona,Rumble,Vladimir,Alistar,Thresh,Gangplank,Lucian
Akali,Pantheon,Qiyana,Syndra,Quinn,Xayah,Renekton,Kai'Sa,Lee Sin,Elise,Jayce,Ryze,Yuumi,Kayle,Yasuo,Nautilus,Kennen,Orianna,Alistar,Leona
Akali,Pantheon,Qiyana,Syndra,Renekton,Xayah,Kai'Sa,Jayce,Gragas,Ryze,Nautilus,Yasuo,Elise,Yuumi,Ornn,Ezreal,Lee Sin,Rek'Sai,Yorick,Corki
Akali,Pantheon,Qiyana,Syndra,Renekton,Rakan,Ryze,Kai'Sa,Taliyah,Xayah,Nautilus,Irelia,Elise,Alistar,LeBlanc,Leona,Ornn,Gragas,Yasuo,Kayle
Akali,Pantheon,Renekton,Ryze,Kai'Sa,Xayah,Gragas,Qiyana,Varus,Yasuo,Syndra,Nautilus,Thresh,Jax,Kayle,LeBlanc,Elise,Olaf,Ornn,Vladimir
Akali,Rakan,Ryze,Camille,Braum,Kindred,Aatrox,Tahm Kench,Varus,Miss Fortune,Alistar,Jayce,Trundle,Olaf,Taliyah,Gragas,Jarvan IV,Lee Sin,LeBlanc,Syndra
Akali,Rakan,Ryze,Shen,Jayce,Kindred,Aatrox,Varus,Camille,Tahm Kench,Gragas,Zoe,LeBlanc,Olaf,Ashe,Braum,Janna,Jhin,Yasuo,Trundle
Akali,Rek'Sai,LeBlanc,Galio,Lee Sin,Sona,Sylas,Xayah,Rakan,Tahm Kench,Ezreal,Ryze,Neeko,Renekton,Cassiopeia,Gangplank,Irelia,Jarvan IV,Kennen,Xin Zhao
Akali,Skarner,Ashe,Yone,Rumble,Galio,Kalista,Varus,Wukong,Renata Glasc,Kennen,Rell,Sylas,Malphite,Sejuani,Gnar,Maokai,Lee Sin,Ryze,LeBlanc
Akali,Skarner,Braum,Nocturne,Rumble,K'Sante,Aurora,Galio,Jax,Wukong,Gnar,Vi,Varus,Ashe,Xayah,Kai'Sa,Ziggs,Leona,Jhin,Alistar
Akali,Skarner,Elise,Aatrox,Gragas,Renekton,Xayah,Sylas,Caitlyn,Sejuani,Camille,Morgana,Karma,Poppy,Yuumi,Syndra,Kled,Rakan,Corki,Olaf
Akali,Skarner,Elise,Xayah,Gragas,Aatrox,Renekton,Sylas,Kennen,Sejuani,Lucian,Ezreal,Yuumi,Syndra,Yasuo,Qiyana,Nautilus,Morgana,Karma,Jayce
Akali,Skarner,Gragas,Aatrox,Elise,Renekton,Xayah,Sylas,Caitlyn,Sejuani,Camille,Morgana,Thresh,Poppy,Karma,Kled,Gangplank,Yuumi,Syndra,Yasuo
Akali,Skarner,Leona,Kalista,Udyr,Rumble,Corki,Miss Fortune,Zyra,Nidalee,Renekton,Rell,Ziggs,Yone,Viktor,Yasuo,Ornn,Ezreal,Alistar,Smolder
Akali,Skarner,Varus,Nocturne,Rumble,K'Sante,Xin Zhao,Lee Sin,Ashe,Jinx,Braum,Elise,Udyr,LeBlanc,Viktor,Sylas,Camille,Sion,Orianna,Syndra
Akali,Sylas,Jarvan IV,Karma,Yuumi,Tahm Kench,Azir,Gragas,Volibear,Nautilus,Xayah,Kai'Sa,Olaf,Irelia,Skarner,Jax,Aatrox,Sejuani,Camille,Jayce
Akali,Sylas,Jarvan IV,Karma,Yuumi,Tahm Kench,Azir,Nautilus,Olaf,Xayah,Alistar,Taliyah,Camille,Kai'Sa,Trundle,Gangplank,Tristana,Gnar,Gragas,Vladimir
Akali,Sylas,Qiyana,Ezreal,Rakan,Tahm Kench,Aatrox,Gragas,Xayah,Olaf,Karma,Camille,Kai'Sa,Jarvan IV,Caitlyn,Jayce,Azir,Sivir,Yuumi,Leona
Akali,Sylas,Qiyana,Gragas,Jayce,Yuumi,Tahm Kench,Ezreal,Azir,Corki,Varus,Braum,Sejuani,Vladimir,Gnar,Jarvan IV,Aatrox,Poppy,Shyvana,Trundle
Akali,Tahm Kench,Alistar,Aatrox,Leona,Urgot,Rakan,Xayah,Gragas,Nocturne,Tristana,Syndra,Irelia,Kindred,Ziggs,Camille,Ornn,Shen,Heimerdinger,Lee Sin
Akali,Tahm Kench,Cassiopeia,Syndra,LeBlanc,Zoe,Lucian,Lissandra,Alistar,Galio,Vladimir,Kai'Sa,Olaf,Aatrox,Yorick,Camille,Urgot,Kled,Sejuani,Jarvan IV
Akali,Tahm Kench,Rakan,Aatrox,Alistar,Taliyah,Urgot,Shen,Kai'Sa,Thresh,Irelia,Gragas,Varus,LeBlanc,Sivir,Lissandra,Galio,Ezreal,Poppy,Olaf
Akali,Tahm Kench,Rakan,Aatrox,Ryze,Camille,Alistar,Varus,Urgot,Gragas,Kai'Sa,Braum,Yasuo,Taliyah,Jayce,Kennen,Lee Sin,Swain,Irelia,Ornn
Akali,Tahm Kench,Ryze,Gragas,Rakan,Alistar,Aatrox,Kai'Sa,Sejuani,Zac,Braum,Kled,Ashe,Shen,Varus,Camille,Morgana,LeBlanc,Vayne,Jax
Akali,Urgot,Irelia,Aatrox,Camille,Alistar,Xayah,Kai'Sa,Gragas,Rakan,Sion,Leona,Kindred,Syndra,Taliyah,Xin Zhao,Ryze,Nocturne,Lissandra,Gangplank
Akali,Urgot,Pyke,Aatrox,Tristana,Taliyah,Alistar,Sion,Xayah,Kai'Sa,Ornn,Rakan,Ryze,LeBlanc,Kindred,Yasuo,Olaf,Graves,Syndra,Irelia
Akali,Urgot,Rakan,Tahm Kench,Alistar,Aatrox,Camille,Kai'Sa,Gragas,Heimerdinger,Thresh,Irelia,Varus,Nocturne,Olaf,Poppy,Nautilus,Tristana,Trundle,Shen
Akali,Xayah,Pantheon,Syndra,Aatrox,Skarner,Renekton,Yuumi,Gragas,Kai'Sa,Nautilus,Garen,Elise,Kled,Nidalee,Jayce,Jax,Sylas,Neeko,Tristana
Akali,Yasuo,Aatrox,Jayce,Irelia,Zoe,Sylas,Karma,Olaf,Jarvan IV,Nautilus,Ezreal,Taliyah,Tahm Kench,Renekton,Yuumi,Vladimir,Sivir,Neeko,Alistar
Akali,Yasuo,Ryze,Jarvan IV,Morgana,Taliyah,Nautilus,Rek'Sai,Xayah,Galio,Kai'Sa,Sylas,Renekton,Dr. Mundo,Kindred,Kennen,Braum,Zoe,Lee Sin,Gangplank
Akali,Yuumi,Qiyana,Sylas,Kai'Sa,Gragas,Corki,Xayah,Rakan,Jarvan IV,Ezreal,Sejuani,Tahm Kench,Irelia,Fiddlesticks,Aatrox,Lucian,Alistar,Kennen,Vladimir
Akali,Yuumi,Renekton,Nocturne,Aatrox,Varus,Elise,Draven,Pantheon,Thresh,Lucian,Blitzcrank,Qiyana,Jayce,Talon,Camille,Taliyah,Garen,Mordekaiser,Vladimir
Alistar,Aatrox,Camille,Cassiopeia,Lee Sin,Lucian,Caitlyn,Irelia,Gragas,Galio,Xin Zhao,Rakan,Morgana,Xayah,Thresh,Kai'Sa,Kalista,Urgot,Leona,Lissandra
Alistar,Aatrox,Camille,Tahm Kench,Ryze,Ashe,Taliyah,Shen,Varus,Rakan,Sivir,Olaf,Trundle,LeBlanc,Orianna,Gangplank,Swain,Jarvan IV,Zilean,Quinn
Alistar,Aatrox,Rakan,Taliyah,Swain,Pyke,Nocturne,Ryze,Fiddlesticks,Shen,Gragas,Trundle,Heimerdinger,Dr. Mundo,Zoe,Poppy,Cho'Gath,Viktor,Orianna,Yasuo
